ccaa,dosisAdministradas,dosisEntregadas,dosisEntregadasModerna,dosisEntregadasPfizer,dosisEntregadasAstrazeneca,dosisEntregadasJanssen,dosisPrimeraDosis,dosisPautaCompletada,fechaUltRegistro
Andalucía,4087772,4270610,392000,2768310,1007500,102800,2804632,1324848,1621468800000
Aragón,757163,794565,75900,544365,158300,16000,494372,270668,1621468800000
Asturias,689279,703635,67000,502835,121400,12400,447261,248389,1621468800000
Baleares,471730,525150,47200,324450,139300,14200,336944,141426,1621468800000
Canarias,883279,1007870,90700,631770,259000,26400,616270,283662,1621468800000
Cantabria,323878,351105,33100,241755,69300,6950,216835,110435,1621468800000
Castilla y Leon,1510435,1647075,159600,1173225,285100,29150,959720,567430,1621468800000
Castilla La Mancha,1073858,1136685,107800,761535,242500,24850,724018,362666,1621468800000
Cataluña,3744065,4121100,386700,2713850,926100,94450,2642992,1135792,1621468800000
C. Valenciana,2413113,2596380,239900,1693180,601900,61400,1668460,776451,1621468800000
Extremadura,615201,639785,59800,440585,126500,12900,404699,216051,1621468800000
Galicia,1705317,1751725,165000,1232125,321700,32900,1115803,603245,1621468800000
La Rioja,174544,186695,17400,127595,37800,3900,115235,61926,1621468800000
Madrid,3162722,3445595,320200,2235795,807300,82300,2168152,1018574,1621468800000
Murcia,638774,743685,67500,478085,179800,18300,429379,214026,1621468800000
Navarra,353577,365345,34500,244095,78700,8050,237738,121398,1621468800000
País Vasco,1216832,1298560,121800,885510,264300,26950,849078,382394,1621468800000
Ceuta,33283,35550,3200,20700,10600,1050,25381,8631,1621468800000
Melilla,29595,35450,3100,20700,10600,1050,22354,7713,1621382400000
